기준년월,기준년,기준월,시도코드,시도명,상영영화수,영화관람객수,지출금액,인구당영화관람객수,영화관람객수점수,지출금액점수,종합점수,기준상영영화수,기준영화관람객수,기준지출금액
201911,2019,11,36,세종시,30,106326,854033960.0,313.97296,123.48096,93.60229,108.54162,234.58333,2410351.25,25540506805.66667
201911,2019,11,41,경기도,166,4576858,38512646590.0,345.9931,136.07401,108.05925,122.06663,234.58333,2410351.25,25540506805.66667
201911,2019,11,43,충청북도,91,516153,4134895360.0,322.66601,126.8998,95.93959,111.4197,234.58333,2410351.25,25540506805.66667
201911,2019,11,44,충청남도,137,625197,5108686100.0,294.30702,115.74663,89.2589,102.50277,234.58333,2410351.25,25540506805.66667
201911,2019,11,45,전라북도,125,551991,4346599840.0,303.15867,119.22785,88.60255,103.9152,234.58333,2410351.25,25540506805.66667
201911,2019,11,46,전라남도,75,406310,3105802920.0,217.79192,85.65437,61.78979,73.72208,234.58333,2410351.25,25540506805.66667
201911,2019,11,47,경상북도,141,610443,4792349980.0,228.99269,90.05947,66.72423,78.39185,234.58333,2410351.25,25540506805.66667
201911,2019,11,48,경상남도,199,940743,7594556820.0,279.71048,110.00603,83.81056,96.90829,234.58333,2410351.25,25540506805.66667
201911,2019,11,50,제주도,52,204961,1699812180.0,305.50384,120.15018,94.03834,107.09426,234.58333,2410351.25,25540506805.66667
201911,2019,11,51,강원도,118,484381,3734325360.0,314.24764,123.58898,89.91986,106.75442,234.58333,2410351.25,25540506805.66667
201912,2019,12,0,전국,572,22464620,186644820812.0,433.26288,170.39593,133.60629,152.00111,234.58333,2410351.25,25540506805.66667
201912,2019,12,11,서울시,338,5650698,48504714031.0,580.80336,228.42143,185.04167,206.73155,234.58333,2410351.25,25540506805.66667
201912,2019,12,26,부산시,119,1544403,12631076680.0,452.39453,177.92013,137.32691,157.62352,234.58333,2410351.25,25540506805.66667
201912,2019,12,27,대구시,111,1144719,9617820180.0,469.52602,184.65769,146.41851,165.5381,234.58333,2410351.25,25540506805.66667
201912,2019,12,28,인천시,94,1131223,9476360810.0,382.5543,150.45299,118.94468,134.69883,234.58333,2410351.25,25540506805.66667
201912,2019,12,29,광주시,88,804619,6437774120.0,552.44537,217.26865,164.05647,190.66256,234.58333,2410351.25,25540506805.66667
201912,2019,12,30,대전시,81,787028,6678246700.0,533.62534,209.86701,168.06113,188.96407,234.58333,2410351.25,25540506805.66667
201912,2019,12,31,울산시,52,482808,3996816780.0,420.5575,165.39909,129.21821,147.30865,234.58333,2410351.25,25540506805.66667
